year,county,sector,gwh,population,gwh_per_capita
2015,Orange,Agriculture and Water Pumping,296.260413186302,3155895,9.387524400726324e-05
2015,Orange,Commercial,9487.72675240992,3155895,0.003006350576432334
2015,Orange,Industrial,2509.95368707795,3155895,0.0007953223054245943
2015,Orange,Mining,432.323324665274,3155895,0.00013698913451343407
2015,Orange,Residential,6892.70778008259,3155895,0.0021840738617991376
2015,Orange,Streetlighting,123.542534586741,3155895,3.914659219864444e-05
2015,Orange,"Transportation, Communications, & Utilities",991.056999250162,3155895,0.00031403357819260845
2016,Orange,Agriculture and Water Pumping,322.359515454055,3170359,0.00010167918379402931
2016,Orange,Commercial,9231.15396776932,3170359,0.00291170620354645
2016,Orange,Industrial,2439.67804148591,3170359,0.0007695273757596253
2016,Orange,Mining,425.566743406444,3170359,0.00013423298226050866
2016,Orange,Residential,6672.0656608177,3170359,0.002104514239812494
2016,Orange,Streetlighting,123.181284168197,3170359,3.885404907399982e-05
2016,Orange,"Transportation, Communications, & Utilities",970.831370543206,3170359,0.00030622127353501795
2017,Orange,Agriculture and Water Pumping,306.15775066259,3188158,9.602966686801281e-05
2017,Orange,Commercial,9142.34729098155,3188158,0.002867595423746737
2017,Orange,Industrial,2370.75875329135,3188158,0.0007436139467652951
2017,Orange,Mining,422.171825109525,3188158,0.00013241872739981047
2017,Orange,Residential,6760.51135942838,3188158,0.0021205070010421
2017,Orange,Streetlighting,121.64377814508,3188158,3.815487756412324e-05
2017,Orange,"Transportation, Communications, & Utilities",955.78057804887,3188158,0.00029979084413284097
2018,Orange,Agriculture and Water Pumping,333.614962726354,3193464,0.00010446805184788493
2018,Orange,Commercial,8964.90179489978,3193464,0.0028072656509983457
2018,Orange,Industrial,2369.41828695091,3193464,0.0007419586652459241
2018,Orange,Mining,396.169717194651,3193464,0.00012405642186498768
2018,Orange,Residential,6778.0581001023,3193464,0.0021224783182469883
2018,Orange,Streetlighting,110.733302030921,3193464,3.4674980532400236e-05
2018,Orange,"Transportation, Communications, & Utilities",979.559415745626,3193464,0.0003067388314838138
2019,Orange,Agriculture and Water Pumping,325.227666172381,3191365,0.00010190863977400924
2019,Orange,Commercial,8561.22708863364,3191365,0.002682622353956266
2019,Orange,Industrial,2286.57551357207,3191365,0.0007164882467445968
2019,Orange,Mining,397.387213616517,3191365,0.00012451951237684095
2019,Orange,Residential,6763.43971974193,3191365,0.0021192936939967476
2019,Orange,Streetlighting,88.1137289902992,3191365,2.761004428835285e-05
2019,Orange,"Transportation, Communications, & Utilities",982.926962187575,3191365,0.0003079957830544532
2020,Orange,Agriculture and Water Pumping,306.784598801417,3189916,9.617325308924028e-05
2020,Orange,Commercial,7781.76960368991,3189916,0.002439490445419224
2020,Orange,Industrial,2220.19860411712,3189916,0.0006960053506478289
2020,Orange,Mining,312.834267396679,3189916,9.806975086387197e-05
2020,Orange,Residential,7499.77121302359,3189916,0.0023510873681387187
2020,Orange,Streetlighting,93.1748049542462,3189916,2.9209171951313513e-05
2020,Orange,"Transportation, Communications, & Utilities",948.915956800161,3189916,0.0002974736503406864
2021,Orange,Agriculture and Water Pumping,295.284596125492,3167049,9.323651011572349e-05
2021,Orange,Commercial,7858.60323342212,3167049,0.002481364586851078
2021,Orange,Industrial,2154.38102930367,3167049,0.0006802487202767213
2021,Orange,Mining,245.001172638309,3167049,7.735945122361826e-05
2021,Orange,Residential,7079.36027932074,3167049,0.002235317571442924
2021,Orange,Streetlighting,130.59168556948,3167049,4.123450113006777e-05
2021,Orange,"Transportation, Communications, & Utilities",965.822004344717,3167049,0.00030495960256526406
2022,Orange,Agriculture and Water Pumping,304.953385479,3165015,9.635132392073972e-05
2022,Orange,Commercial,8458.864489825,3165015,0.002672614344584465
2022,Orange,Industrial,2195.65744155,3165015,0.0006937273414344007
2022,Orange,Mining,222.034675599,3165015,7.015280357249491e-05
